timestamp_deteccion,connector_id,operator_name,estado_anterior,estado_nuevo,api_last_updated,power_type,max_electric_power,standard,location_name,operador_agrupado,tramo_potencia,commune,region
2026-09-03T23:44:52+00:00,611,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:44:19.371825+00:00,DC,60,CCS 2,Enel x way - Tottus Nataniel Cox (Santiago),Enel,(50-150],Santiago,Metropolitana,Enel,Enel
2026-09-03T23:44:52+00:00,7470,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:44:15.280349+00:00,DC,180,CCS 2,COPEC VOLTEX EDS 60001 - PEDRO FONTOVA,Copec Voltex,150,Huechuraba,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:44:52+00:00,243,COPEC VOLTEX,OCUPADO,DISPONIBLE,2026-09-03T23:44:18.688322+00:00,DC,50,CCS 2,"COPEC Los Angeles Ruta 5 km 518,5 - lado poniente",Copec Voltex,(22-50],Los Ángeles,Biobío,Copec Voltex,Copec Voltex
2026-09-03T23:44:52+00:00,9130,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-08-28T15:10:22.128521+00:00,DC,148.96,CCS 2,Electrolinera ENEX Portugal 175 Santiago File 647,Enerlink,(50-150],Santiago,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:44:52+00:00,1818,Enerlink Chile SpA,OCUPADO,DISPONIBLE,2026-09-03T03:32:47.495821+00:00,DC,120,CCS 2,Enex E-Pro Shell Quilicura,Enerlink,(50-150],Quilicura,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:44:52+00:00,8683,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:43:39.737452+00:00,DC,50,CHAdeMO,"Copec Costanera Norte, Pudahuel",Copec Voltex,(22-50],Pudahuel,Metropolitana,Copec Voltex,Copec Voltex
2026-09-03T23:44:52+00:00,8733,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-09-03T21:19:14.519969+00:00,DC,70,CCS 2,Cargador publico Enex File 130,Enerlink,(50-150],Recoleta,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:44:52+00:00,241,COPEC VOLTEX,FUERA DE LINEA,DISPONIBLE,2026-09-03T23:44:18.688322+00:00,DC,50,CHAdeMO,"COPEC Los Angeles Ruta 5 km 518,5 - lado poniente",Copec Voltex,(22-50],Los Ángeles,Biobío,Copec Voltex,Copec Voltex
2026-09-03T23:45:56+00:00,243,COPEC VOLTEX,DISPONIBLE,OCUPADO,2026-09-03T23:45:15.379613+00:00,DC,50,CCS 2,"COPEC Los Angeles Ruta 5 km 518,5 - lado poniente",Copec Voltex,(22-50],Los Ángeles,Biobío,Copec Voltex,Copec Voltex
2026-09-03T23:45:56+00:00,612,ENEL X,DISPONIBLE,FUERA DE LINEA,2026-09-03T23:44:19.371825+00:00,DC,60,CCS 2,Enel x way - Tottus Nataniel Cox (Santiago),Enel,(50-150],Santiago,Metropolitana,Enel,Enel
2026-09-03T23:45:56+00:00,1820,Enerlink Chile SpA,DISPONIBLE,OCUPADO,2026-09-03T03:32:47.495821+00:00,DC,120,CCS 2,Enex E-Pro Shell Quilicura,Enerlink,(50-150],Quilicura,Metropolitana,EMPRESA NACIONAL DE ENERGIA EN,Enerlink
2026-09-03T23:45:56+00:00,6837,ENEL X,DISPONIBLE,OCUPADO,2026-09-03T23:44:28.723247+00:00,DC,60,CCS 2,Enel X - EDS Petrobras Isabel La Católica,Enel,(50-150],Las Condes,Metropolitana,Enel,Enel
2026-09-03T23:45:56+00:00,8854,ENEL X,DISPONIBLE,OCUPADO,2026-09-02T22:34:33.699952+00:00,DC,50,CHAdeMO,Enel X - EDS Aramco Quilicura ,Enel,(22-50],Quilicura,Metropolitana,Enel,Enel
