vista,empresa,power_type,sitios,conectores,kw
owner,Admin. de Turism Rosa Agustina,,1,1,22
owner,Rentas Inmobiliarias Limitada,,1,1,22
owner,Copec Voltex,AC,204,669,8542
owner,Enel,AC,138,545,6098
owner,EMPRESA NACIONAL DE ENERGIA EN,AC,40,41,1216
owner,Chass,AC,2,34,448
owner,Saesa,AC,11,22,484
owner,Chilquinta Energia S.A.,AC,7,14,352
owner,ILUSTRE MUNICIPALIDAD DE LAS CONDES,AC,6,12,308
owner,COMPAÑIA GENERAL DE ELECTRICIDAD S.A.,AC,5,10,160
owner,Inversiones Vida Parque SA,AC,1,9,63
owner,Enerlink,AC,1,9,63
owner,CENCOSUD SHOPPING S.A.,AC,3,7,49
owner,METLIFE CHILE SEGUROS DE VIDA,AC,1,6,42
owner,Soc. Con. Nuevo Pudahuel S.A.,AC,1,6,132
owner,CHILECTRA S.A.,AC,3,5,110
owner,Sin dueño informado,AC,3,5,139
owner,Inmobiliaria viña del mar SA,AC,2,4,28
owner,Bodegas San Francisco Ltda.,AC,2,4,88
owner,TE MOBILITY SPA,AC,3,4,58
owner,Desarrollos e Inversiones Inte,AC,2,4,30
owner,Corporacion Desarrollo RM,AC,2,4,87
owner,INMOBILIARIA POWER CENTER LTDA,AC,1,4,88
owner,Inmobiliaria FG Oriente SpA,AC,1,4,59
owner,Com Edif Nue Las Condes Siete,AC,1,4,30
owner,Comer. Ditec Automoviles SA,AC,1,4,30
owner,Inmobiliaria Playa La Boca Spa,AC,1,4,88
owner,Estacionamientos Manuel Montt,AC,1,4,30
owner,Pompeyo Carrasco SPA,AC,2,3,22
owner,Parque Arauco SA,AC,1,2,14
owner,Automovil Club de Chile,AC,1,2,14
owner,Inversiones Quildos Ltda,AC,1,2,44
owner,Universidad de Los andes,AC,1,2,44
owner,Pinochet y Pinochet SPA,AC,1,2,44
owner,Universidad Adolfo Ibañez,AC,1,2,44
owner,Turismo Lago Grey SA,AC,1,2,15
owner,inmobiliaria y construtora Alo,AC,1,2,14
owner,Inmob. Administ. y Com. Mall S,AC,1,2,13
owner,Patio Foster SPA,AC,1,2,14
owner,inmobiliaria los militares apo,AC,1,2,14
owner,Hotel termas de Puyehue,AC,1,2,15
owner,Parque Solar Fotovoltaico Luz,AC,1,2,44
owner,MALL PLAZA EL TREBOL S.A,AC,1,2,15
owner,Automotriz Poerillo sur Ltda,AC,1,2,15
owner,CTEC,AC,1,2,44
owner,INMOBILIARIA IRARRAZAVAL DOS S,AC,1,2,44
owner,INMOBILIARIA INDUMOTORA SPA,AC,2,2,15
owner,Est. Sub. Valparaíso SA,AC,1,2,44
owner,COM. ED. WORD TRADE CENCER,AC,1,2,44
owner,Empresa Eléctrica de Casablanca S.A,AC,1,2,44
owner,CONSTRUCTORA SIENNA S.A,AC,1,2,14
owner,Edelaysen,AC,1,2,44
owner,inmobiliaria miguel claro s.a,AC,1,2,44
owner,Compañia de Leasing Tattersal,AC,1,1,7
owner,INMOBILIARIA ITALIA S.A.,AC,1,1,22
owner,Casino de Juegos Punta Arenas,AC,1,1,7
owner,Cominidad Complejo Boulebard K,AC,1,1,22
owner,Fundacion IP DuocUc,AC,1,1,22
owner,RUTA DEL MAIPO SOC. CONCESIONA,AC,1,1,43
owner,Soc. Concesionaria Autopista,AC,1,1,43
owner,WILLIAMSON BALFOUR MOTORS,AC,1,1,7
owner,CLINICA ALEMANA SANTIAGO S.A,AC,1,1,44
owner,ELSA DEL CARMEN LEIVA REYES,AC,1,1,22
owner,COMERCIAL AUTOMOTRIZ SIGLO XXI,AC,1,1,7
owner,SERVICIOS HERRMANN LIMITADA,AC,1,1,22
owner,SINERGIA INMOBILIARIA S.A.,AC,1,1,22
owner,Industria Recuperadora de Neum,AC,1,1,22
owner,INVERSIONES OREGONIA S.A,AC,1,1,7
owner,Fundacion Duoc Uc,AC,1,1,7
owner,CURIFOR INMOBILIARIA S.A.,AC,1,1,7
owner,INMOBILIARIA COLOSO VICUÑA MAC,AC,1,1,7
owner,CHUBB SEGUROS CHILE S.A.,AC,1,1,7
owner,Club de Golf Valle Escondido,AC,1,1,7
owner,WALMART CHILE S.A,AC,1,1,7
owner,PLAZA CORDILLERA S.A.,AC,1,1,7
owner,Admin. de Turism Rosa Agustina,AC,1,1,22
owner,Nexe,AC,1,1,22
owner,Enel,DC,99,288,20432
owner,Copec Voltex,DC,115,285,45198
owner,EMPRESA NACIONAL DE ENERGIA EN,DC,57,118,8801
owner,Sin dueño informado,DC,4,12,854
owner,Cargar Mas SpA,DC,1,10,3500
owner,Chass,DC,3,8,600
owner,Gasco GLP SA,DC,2,6,480
owner,TODO ARAUCO,DC,1,4,400
owner,Tesla Chile SpA,DC,1,4,1000
owner,Nexe,DC,1,4,1200
owner,Inmobiliaria Puente Ltda.,DC,1,4,240
owner,RUTA DEL MAIPO SOC. CONCESIONA,DC,1,2,100
owner,Soc. Concesionaria Autopista,DC,1,2,100
owner,ELSA DEL CARMEN LEIVA REYES,DC,1,2,110
owner,SERVICIOS HERRMANN LIMITADA,DC,1,2,200
owner,Industria Recuperadora de Neum,DC,1,2,200
owner,Enerlink,DC,1,2,120
owner,EMPRESA ELÉCTRICA DE MAGALLANES S.A,DC,2,2,45
owner,SOCIEDAD CONCESIONARIA NUEVO A,DC,1,2,360
owner,Rentas Inmobiliarias Limitada,DC,1,1,22
pse,Copec Voltex,,250,927,48694
pse,Enel,,193,790,24955
pse,Sin PSE informado,,132,313,17305
pse,Enerlink,,66,189,11988
pse,Chass,,2,36,568
pse,Chilquinta Energia S.A.,,6,10,264
