vista,fecha,empresa,tramo_potencia,power_type,transacciones
pse,2026-09-01,Enerlink,7,,5
pse,2026-09-01,Enerlink,7,AC,5
pse,2026-09-01,Copec Voltex,7,,4
pse,2026-09-01,Copec Voltex,7,AC,4
pse,2026-09-01,Enerlink,150,,3
pse,2026-09-01,Enerlink,150,DC,3
pse,2026-09-01,Enerlink,(7-22],,3
pse,2026-09-01,Enerlink,(7-22],AC,3
pse,2026-09-01,Enel,(7-22],DC,2
pse,2026-09-01,Enerlink,(22-50],AC,1
pse,2026-09-01,Enel,(50-150],AC,1
pse,2026-09-01,Enel,150,,1
pse,2026-09-01,Enel,150,DC,1
pse,2026-09-02,Copec Voltex,150,,588
pse,2026-09-02,Copec Voltex,150,DC,588
pse,2026-09-02,Enel,(50-150],,543
pse,2026-09-02,Enel,(50-150],DC,535
pse,2026-09-02,Enerlink,(50-150],,270
pse,2026-09-02,Enerlink,(50-150],DC,270
pse,2026-09-02,Enel,(22-50],,177
pse,2026-09-02,Enel,(22-50],DC,177
pse,2026-09-02,Copec Voltex,(22-50],,133
pse,2026-09-02,Copec Voltex,(22-50],DC,133
pse,2026-09-02,Enerlink,(22-50],,121
pse,2026-09-02,Enerlink,(22-50],DC,119
pse,2026-09-02,Copec Voltex,(50-150],,69
pse,2026-09-02,Copec Voltex,(50-150],DC,69
pse,2026-09-02,Enel,(7-22],,53
pse,2026-09-02,Enel,(7-22],AC,46
pse,2026-09-02,Copec Voltex,7,,37
pse,2026-09-02,Copec Voltex,7,AC,37
pse,2026-09-02,Copec Voltex,(7-22],,37
pse,2026-09-02,Copec Voltex,(7-22],AC,37
pse,2026-09-02,Enel,7,,32
pse,2026-09-02,Enel,7,AC,32
pse,2026-09-02,Enerlink,(7-22],,31
pse,2026-09-02,Enerlink,(7-22],AC,31
pse,2026-09-02,Enerlink,150,,16
pse,2026-09-02,Enerlink,150,DC,16
pse,2026-09-02,Enerlink,7,,12
pse,2026-09-02,Enerlink,7,AC,12
pse,2026-09-02,Enel,(50-150],AC,8
pse,2026-09-02,Enel,(7-22],DC,7
pse,2026-09-02,Enel,150,,4
pse,2026-09-02,Enel,150,DC,4
pse,2026-09-02,Enerlink,(22-50],AC,2
pse,2026-09-03,Copec Voltex,150,,838
pse,2026-09-03,Copec Voltex,150,DC,838
pse,2026-09-03,Enel,(50-150],,643
pse,2026-09-03,Enel,(50-150],DC,636
pse,2026-09-03,Enerlink,(50-150],,323
pse,2026-09-03,Enerlink,(50-150],DC,323
pse,2026-09-03,Enel,(22-50],,254
pse,2026-09-03,Enel,(22-50],DC,254
pse,2026-09-03,Copec Voltex,(22-50],,176
pse,2026-09-03,Copec Voltex,(22-50],DC,176
pse,2026-09-03,Enerlink,(22-50],,142
pse,2026-09-03,Enerlink,(22-50],DC,139
pse,2026-09-03,Copec Voltex,(50-150],,87
pse,2026-09-03,Copec Voltex,(50-150],DC,87
pse,2026-09-03,Enel,(7-22],,65
pse,2026-09-03,Enel,(7-22],AC,62
pse,2026-09-03,Copec Voltex,(7-22],,54
pse,2026-09-03,Copec Voltex,(7-22],AC,54
pse,2026-09-03,Enel,7,,43
pse,2026-09-03,Enel,7,AC,43
pse,2026-09-03,Copec Voltex,7,,39
pse,2026-09-03,Copec Voltex,7,AC,39
pse,2026-09-03,Enerlink,150,,22
pse,2026-09-03,Enerlink,150,DC,22
pse,2026-09-03,Enerlink,(7-22],,21
pse,2026-09-03,Enerlink,(7-22],AC,21
pse,2026-09-03,Enerlink,7,,10
pse,2026-09-03,Enerlink,7,AC,10
pse,2026-09-03,Enel,(50-150],AC,7
pse,2026-09-03,Enel,150,,5
pse,2026-09-03,Enel,150,DC,5
pse,2026-09-03,Enerlink,(22-50],AC,3
pse,2026-09-03,Enel,(7-22],DC,3
pse,2026-09-04,Copec Voltex,150,,518
pse,2026-09-04,Copec Voltex,150,DC,518
pse,2026-09-04,Enel,(50-150],,407
pse,2026-09-04,Enel,(50-150],DC,394
pse,2026-09-04,Enerlink,(50-150],,166
pse,2026-09-04,Enerlink,(50-150],DC,166
pse,2026-09-04,Enel,(22-50],,155
pse,2026-09-04,Enel,(22-50],DC,155
pse,2026-09-04,Copec Voltex,(22-50],,115
pse,2026-09-04,Copec Voltex,(22-50],DC,115
pse,2026-09-04,Enerlink,(22-50],,95
pse,2026-09-04,Enerlink,(22-50],DC,90
pse,2026-09-04,Copec Voltex,(50-150],,55
pse,2026-09-04,Copec Voltex,(50-150],DC,55
pse,2026-09-04,Enel,(7-22],,38
pse,2026-09-04,Enel,(7-22],AC,36
pse,2026-09-04,Enel,7,,29
pse,2026-09-04,Enel,7,AC,29
pse,2026-09-04,Copec Voltex,7,,27
pse,2026-09-04,Copec Voltex,7,AC,27
pse,2026-09-04,Enel,150,,18
pse,2026-09-04,Enel,150,DC,18
pse,2026-09-04,Copec Voltex,(7-22],,17
pse,2026-09-04,Copec Voltex,(7-22],AC,17
pse,2026-09-04,Enerlink,(7-22],,13
pse,2026-09-04,Enerlink,(7-22],AC,13
pse,2026-09-04,Enel,(50-150],AC,13
pse,2026-09-04,Enerlink,150,,11
pse,2026-09-04,Enerlink,150,DC,11
pse,2026-09-04,Enerlink,(22-50],AC,5
pse,2026-09-04,Enerlink,7,,2
pse,2026-09-04,Enerlink,7,AC,2
pse,2026-09-04,Enel,(7-22],DC,2
